test_type,alloy,solute,plane,T_C,gamma_Jm2_mean,gamma_Jm2_std,gamma_Jm2_min,gamma_Jm2_max,ads_monolayers_mean,ads_monolayers_std,ads_monolayers_min,ads_monolayers_max,ads_first2_monolayers_mean,ads_first2_monolayers_std,ads_first2_monolayers_min,ads_first2_monolayers_max,acceptance_ratio_mean,acceptance_ratio_std,acceptance_ratio_min,acceptance_ratio_max,delta_final_mean,delta_final_std,delta_final_min,delta_final_max,term1_Jmol_mean,term1_Jmol_std,term1_Jmol_min,term1_Jmol_max,term2_Jmol_mean,term2_Jmol_std,term2_Jmol_min,term2_Jmol_max,term3_Jmol_mean,term3_Jmol_std,term3_Jmol_min,term3_Jmol_max,term4_Jmol_mean,term4_Jmol_std,term4_Jmol_min,term4_Jmol_max,term5_Jmol_mean,term5_Jmol_std,term5_Jmol_min,term5_Jmol_max,Eel_Jmol_mean,Eel_Jmol_std,Eel_Jmol_min,Eel_Jmol_max,total_Jmol_mean,total_Jmol_std,total_Jmol_min,total_Jmol_max
L,Fe-1.15Cu_wt,CU,110,575.0,2.2268055030913074,0.0,2.2268055030913074,2.2268055030913074,0.6679769530926617,0.0,0.6679769530926617,0.6679769530926617,0.6679828385401815,0.0,0.6679828385401815,0.6679828385401815,0.88886,0.0,0.88886,0.88886,0.2,0.0,0.2,0.2,60531.221216220045,0.0,60531.22121622005,60531.22121622005,17547.226806778825,0.0,17547.226806778825,17547.226806778825,-78.86959097370875,0.0,-78.86959097370875,-78.86959097370875,-0.0362021334824548,0.0,-0.0362021334824548,-0.0362021334824548,-105.8857317577329,0.0,-105.8857317577329,-105.8857317577329,0.0,0.0,0.0,0.0,77893.65649813393,0.0,77893.65649813393,77893.65649813393
L,Fe-1.15Cu_wt,CU,110,600.0,2.239662618742005,0.0,2.239662618742005,2.239662618742005,0.6371208506132873,0.0,0.6371208506132873,0.6371208506132873,0.6371325047502108,0.0,0.6371325047502108,0.6371325047502108,0.8897600000000001,0.0,0.88976,0.88976,0.2,0.0,0.2,0.2,61678.09486019051,0.0,61678.09486019051,61678.09486019051,16885.60485369424,0.0,16885.60485369424,16885.60485369424,-96.62172362722885,0.0,-96.62172362722885,-96.62172362722885,-0.05157374480492081,0.0,-0.0515737448049208,-0.0515737448049208,-123.6280129173891,0.0,-123.62801291738911,-123.62801291738911,0.0,0.0,0.0,0.0,78343.39840359533,0.0,78343.39840359533,78343.39840359533
L,Fe-1.15Cu_wt,CU,110,625.0,2.2514062127447176,0.0,2.2514062127447176,2.2514062127447176,0.6073630073154129,0.0,0.6073630073154129,0.6073630073154129,0.607371701322991,0.0,0.607371701322991,0.607371701322991,0.89042,0.0,0.89042,0.89042,0.2,0.0,0.2,0.2,62784.73011354108,0.0,62784.73011354108,62784.73011354108,16228.635554834542,0.0,16228.635554834542,16228.635554834542,-116.78282012254806,0.0,-116.78282012254806,-116.78282012254806,-0.0724164629453836,0.0,-0.0724164629453836,-0.0724164629453836,-142.32110997991342,0.0,-142.32110997991342,-142.32110997991342,0.0,0.0,0.0,0.0,78754.18932181022,0.0,78754.18932181022,78754.18932181022
L,Fe-1.15Cu_wt,CU,110,650.0,2.262091240823723,0.0,2.262091240823723,2.262091240823723,0.5789361394867749,0.0,0.5789361394867749,0.5789361394867749,0.5789394867018117,0.0,0.5789394867018117,0.5789394867018117,0.89111,0.0,0.89111,0.89111,0.2,0.0,0.2,0.2,63842.73049609394,0.0,63842.73049609394,63842.73049609394,15586.71331042319,0.0,15586.71331042319,15586.71331042319,-139.49725208171932,0.0,-139.49725208171932,-139.49725208171932,-0.10376742771091992,0.0,-0.1037674277109199,-0.1037674277109199,-161.89118299385217,0.0,-161.89118299385217,-161.89118299385217,0.0,0.0,0.0,0.0,79127.95160401383,0.0,79127.95160401383,79127.95160401383
L,Fe-1.15Cu_wt,CU,110,675.0,2.2717753813728687,0.0,2.2717753813728687,2.2717753813728687,0.5520972974095664,0.0,0.5520972974095664,0.5520972974095664,0.5520911133938557,0.0,0.5520911133938557,0.5520911133938557,0.890545,0.0,0.890545,0.890545,0.2,0.0,0.2,0.2,64841.702654349174,0.0,64841.70265434918,64841.70265434918,14972.513690219945,0.0,14972.513690219945,14972.513690219945,-164.97310708455834,0.0,-164.97310708455834,-164.97310708455834,-0.1411475990527032,0.0,-0.1411475990527032,-0.1411475990527032,-182.399249462566,0.0,-182.399249462566,-182.399249462566,0.0,0.0,0.0,0.0,79466.70284042295,0.0,79466.70284042295,79466.70284042295
L,Fe-1.15Cu_wt,CU,110,700.0,2.2805157526407065,0.0,2.2805157526407065,2.2805157526407065,0.5269729815940505,0.0,0.5269729815940505,0.5269729815940505,0.5269489185321793,0.0,0.5269489185321793,0.5269489185321793,0.890385,0.0,0.890385,0.890385,0.2,0.0,0.2,0.2,65777.40307146015,0.0,65777.40307146015,65777.40307146015,14392.630206781329,0.0,14392.63020678133,14392.63020678133,-193.45882619524284,0.0,-193.45882619524284,-193.45882619524284,-0.1879142813289325,0.0,-0.1879142813289325,-0.1879142813289325,-203.9455103930111,0.0,-203.9455103930111,-203.9455103930111,0.0,0.0,0.0,0.0,79772.44102737191,0.0,79772.44102737191,79772.44102737191
L,Fe-1.15Cu_wt,CU,111,400.0,1.6882691484529242,0.0,1.6882691484529242,1.6882691484529242,0.9899583484562251,0.0,0.9899583484562252,0.9899583484562252,0.9899619745795958,0.0,0.9899619745795958,0.9899619745795958,0.8218499999999999,0.0,0.82185,0.82185,0.2,0.0,0.2,0.2,118968.77617183657,0.0,118968.77617183657,118968.77617183657,25706.15004731153,0.0,25706.15004731153,25706.15004731153,-24.021579557520656,0.0,-24.021579557520656,-24.021579557520656,-0.0040001440323838,0.0,-0.0040001440323838,-0.0040001440323838,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,144650.90063944654,0.0,144650.90063944654,144650.90063944654
L,Fe-1.15Cu_wt,CU,111,425.0,1.6992736016153551,0.0,1.6992736016153551,1.6992736016153551,0.9899974109562251,0.0,0.9899974109562252,0.9899974109562252,0.9900010370795955,0.0,0.9900010370795956,0.9900010370795956,0.823675,0.0,0.823675,0.823675,0.2,0.0,0.2,0.2,118968.77617183657,0.0,118968.77617183657,118968.77617183657,26660.848549335467,0.0,26660.848549335467,26660.848549335467,-35.85373460486876,0.0,-35.85373460486876,-35.85373460486876,-0.0088001635289716,0.0,-0.0088001635289716,-0.0088001635289716,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,145593.76218640365,0.0,145593.76218640365,145593.76218640365
L,Fe-1.15Cu_wt,CU,111,450.0,1.7102297816232919,0.0,1.710229781623292,1.710229781623292,0.9900560047062253,0.0,0.9900560047062252,0.9900560047062252,0.9900596308295958,0.0,0.9900596308295958,0.9900596308295958,0.8255800000000001,0.0,0.82558,0.82558,0.2,0.0,0.2,0.2,118968.77617183657,0.0,118968.77617183657,118968.77617183657,27615.55010062847,0.0,27615.550100628465,27615.550100628465,-51.81972935048289,0.0,-51.81972935048289,-51.81972935048289,-0.0188536308944811,0.0,-0.0188536308944811,-0.0188536308944811,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,146532.48768948365,0.0,146532.48768948365,146532.48768948365
L,Fe-1.15Cu_wt,CU,111,475.0,1.7211261334577528,0.0,1.721126133457753,1.721126133457753,0.9901145984562252,0.0,0.9901145984562252,0.9901145984562252,0.9901182245795959,0.0,0.9901182245795958,0.9901182245795958,0.82746,0.0,0.82746,0.82746,0.2,0.0,0.2,0.2,118968.77617183657,0.0,118968.77617183657,118968.77617183657,28570.254110602364,0.0,28570.254110602367,28570.254110602367,-72.90801036583177,0.0,-72.90801036583177,-72.90801036583177,-0.0351574128386736,0.0,-0.0351574128386736,-0.0351574128386736,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,147466.08711466027,0.0,147466.08711466027,147466.08711466027
L,Fe-1.15Cu_wt,CU,111,500.0,1.7319496186370695,0.0,1.7319496186370695,1.7319496186370695,0.9901927234562253,0.0,0.9901927234562252,0.9901927234562252,0.9901963495795958,0.0,0.9901963495795958,0.9901963495795958,0.8294349999999999,0.0,0.829435,0.829435,0.2,0.0,0.2,0.2,118968.77617183657,0.0,118968.77617183657,118968.77617183657,29524.964568190167,0.0,29524.964568190167,29524.964568190167,-100.23325964115013,0.0,-100.23325964115013,-100.23325964115013,-0.064155561450694,0.0,-0.064155561450694,-0.064155561450694,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,148393.44332482413,0.0,148393.44332482413,148393.44332482413
